id,release_date,budget,revenue,adjusted_budget,num_of_tickets_sold,year,cost_per_ticket
616,2003-12-05,140000000,456758981,217545605.3067993,293944146.79082185,2003,6.03
617,1998-03-20,20000000,67200000,39957356.076759055,33635859.124866605,1998,4.69
619,1992-11-25,25000000,411006740,56445783.132530116,182036069.47705445,1992,4.15
621,1978-07-07,6000000,181813770,24025641.025641024,45404932.95624333,1978,2.34
622,1999-08-24,38000000,58401898,70090551.18110235,31662928.69156884,1999,5.08
627,1996-02-23,4000000,16491080,8479638.009049773,7779143.393810032,1996,4.42
628,1994-11-11,60000000,223664608,134497607.65550238,99777808.05122733,1994,4.18
629,1995-07-19,6000000,23341568,12924137.931034481,10836266.894343652,1995,4.35
630,1939-08-15,2777000,33754967,113132565.21739128,828563.7577374601,1939,0.23
634,2001-04-13,25000000,281929795,41386925.795053,170301242.23052296,2001,5.66
639,1989-07-21,16000000,92823546,37763224.18136019,39328652.89434366,1989,3.97
640,2002-12-25,52000000,352114312,83862306.36833046,218333420.78121665,2002,5.81
641,2000-10-27,4500000,7390108,7822820.037105751,4251086.672358591,2000,5.39
642,1969-09-23,6000000,102308889,39591549.295774646,15504655.536819639,1969,1.42
644,2001-06-29,100000000,235926552,165547703.180212,142512730.45037356,2001,5.66
646,1962-10-04,950000,59600000,12716428.57142857,4452508.004268943,1962,0.7
650,1991-07-12,6500000,57504069,14466745.843230402,25836940.28708645,1991,4.21
652,2004-05-13,175000000,497409852,264049919.48470205,329660104.6872999,2004,6.21
654,1954-06-22,910000,9600000,18948222.22222222,461045.8911419424,1954,0.45
657,1963-10-11,2000000,78898765,22047058.82352941,7157305.256136606,1963,0.85
658,1964-09-17,2500000,124881062,25188172.04301075,12394811.916755604,1964,0.93
660,1965-12-16,5500000,141195658,51024752.47524752,15219596.006403418,1965,1.01
663,2007-10-25,10000000,139352633,13619186.046511626,102320823.37673427,2007,6.88
664,1996-05-10,92000000,494471524,195031674.20814478,233251241.84418356,1996,4.42
667,1967-06-12,9500000,111584787,74179166.66666666,14290474.32230523,1967,1.2
668,1969-12-12,6500000,81974493,42890845.07042253,12423028.821771612,1969,1.42
671,2001-11-16,125000000,976475550,206934628.975265,589845422.9455711,2001,5.66
672,2002-11-13,100000000,876688482,161273666.0929432,543602996.8431163,2002,5.81
673,2004-05-31,130000000,789804554,196151368.7600644,523445707.6136607,2004,6.21
674,2005-11-05,150000000,895921036,219266770.6708268,612897955.2572039,2005,6.41
675,2007-06-28,150000000,938212738,204287790.6976744,688890462.9071505,2007,6.88
676,2001-05-21,140000000,449220945,231766784.4522968,271354380.86446106,2001,5.66
679,1986-07-18,18500000,183316455,46723719.67654986,72583142.80149414,1986,3.71
680,1994-10-08,8000000,213928762,17933014.354066983,95434602.47171827,1994,4.18
681,1971-12-13,7200000,116019547,40887272.72727273,20430336.45144077,1971,1.65
682,1974-12-01,7000000,97572000,35074866.31016042,19472747.06510139,1974,1.87
686,1997-07-11,90000000,171120329,183725490.19607842,83825219.86232658,1997,4.59
687,1995-12-29,11000000,39363635,23694252.873563215,18274473.02561366,1995,4.35
